trip_id,stop_id,stop_sequence,delay,category,operator
9474584821094074319,8000107,14,0,S,kvv021
9474584821094074319,8002068,16,0,S,kvv021
9474584821094074319,8002068,16,60,S,kvv021
9474584821094074319,8003293,17,60,S,kvv021
9475329992658608090,8006272,1,0,SBB,L721
9475329992658608090,8003729,8,0,SBB,L721
9476387339114696094,8003293,1,0,S,kvv021
9476387339114696094,8002068,2,0,S,kvv021
9476387339114696094,8002068,2,0,S,kvv021
9476387339114696094,8000107,4,0,S,kvv021
9476387339114696094,8000107,4,0,S,kvv021
9477178654047456371,8006167,12,0,S,A6
9482222302057490257,8007646,1,0,HzL,R7
9482222302057490257,8005911,2,0,HzL,R7
9499596265968293235,8083368,10,0,S,8003S
9499596265968293235,8083368,10,0,S,8003S
9503266262924815646,8003400,1,120,RE,800647
9503266262924815646,8003401,2,120,RE,800647
9503266262924815646,8003401,2,120,RE,800647
9503266262924815646,8000073,5,300,RE,800647
9503266262924815646,8000073,5,240,RE,800647
9503266262924815646,8001790,6,180,RE,800647
9503266262924815646,8001790,6,240,RE,800647
9503266262924815646,8000182,7,300,RE,800647
9503266262924815646,8000182,7,240,RE,800647
9503266262924815646,8000077,8,180,RE,800647
9503266262924815646,8000077,8,240,RE,800647
9503266262924815646,8000366,9,240,RE,800647
9503266262924815646,8000366,9,240,RE,800647
9503266262924815646,8005644,10,180,RE,800647
9503266262924815646,8005644,10,180,RE,800647
9503266262924815646,8005902,11,180,RE,800647
9503266262924815646,8005902,11,180,RE,800647
9503266262924815646,8003001,12,180,RE,800647
9503266262924815646,8003001,12,240,RE,800647
9503266262924815646,8000333,13,60,RE,800647
9503266262924815646,8000333,13,60,RE,800647
9503266262924815646,8002621,14,60,RE,800647
9503266262924815646,8002621,14,60,RE,800647
9503266262924815646,8000942,15,60,RE,800647
9503266262924815646,8000942,15,60,RE,800647
9503266262924815646,8000290,16,0,RE,800647
9503266262924815646,8000290,16,60,RE,800647
9503266262924815646,8000596,17,60,RE,800647
9503266262924815646,8000596,17,60,RE,800647
9503266262924815646,8005037,18,0,RE,800647
9503266262924815646,8005037,18,60,RE,800647
